question,votes,tags
What does the “yield” keyword do?,10289,python iterator generator yield coroutine
What does if __name__ == “__main__”: do?,6134,python namespaces main python-module idioms
Does Python have a ternary conditional operator?,6104,python operators ternary-operator conditional-operator
What are metaclasses in Python?,5752,python oop metaclass python-datamodel
How do I check whether a file exists without exceptions?,5653,python file file-exists
Calling an external command from Python,4930,python shell terminal subprocess command
How do I merge two dictionaries in a single expression in Python?,4873,python dictionary merge
How can I safely create a nested directory?,4290,python exception path directory operating-system
Accessing the index in 'for' loops?,3644,python loops list
Difference between staticmethod and classmethod,3618,python oop methods python-decorators
Does Python have a string 'contains' substring method?,3599,python string substring contains
How do I list all files of a directory?,3472,python directory
How to make a flat list out of list of lists?,3448,python list multidimensional-array flatten
How do I sort a dictionary by value?,3422,python sorting dictionary
Understanding slice notation,3338,python list slice iterable
Finding the index of an item in a list,3235,python list indexing
How do I check if a list is empty?,3234,python list
Iterating over dictionaries using 'for' loops,3175,python python-2.7 dictionary
Using global variables in a function,3139,python global-variables scope
What is the difference between Python's list methods append and extend?,3116,python list data-structures append extend
How to get the current time in Python,2936,python datetime time
Catch multiple exceptions in one line (except block),2785,python exception exception-handling
How to make a chain of function decorators?,2766,python decorator python-decorators
How can I make a time delay in Python? [duplicate],2765,python delay sleep timedelay
Difference between __str__ and __repr__?,2753,python magic-methods repr
Check if a given key already exists in a dictionary,2683,python dictionary
How can I add new keys to a dictionary?,2657,python dictionary lookup
How do I pass a variable by reference?,2655,python reference parameter-passing pass-by-reference
“Least Astonishment” and the Mutable Default Argument,2612,python language-design default-parameters least-astonishment
How to clone or copy a list?,2586,python list copy clone
How do I concatenate two lists in Python?,2570,python list concatenation
Understanding Python super() with __init__() methods [duplicate],2554,python class oop inheritance super
How to install pip on Windows?,2549,python windows installation pip easy-install
How do I copy a file in Python?,2529,python file copy filesystems file-copying
What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,2383,python syntax parameter-passing variadic-functions argument-unpacking
What is __init__.py for?,2371,python module package python-packaging
Convert bytes to a string,2367,python string python-3.x
Manually raising (throwing) an exception in Python,2302,python exception
How do you split a list into evenly sized chunks?,2301,python list split chunks
How do I parse a string to a float or int?,2269,python parsing floating-point type-conversion integer
Find current directory and file's directory [duplicate],2243,python directory
Converting string into datetime,2204,python datetime
How to delete a file or folder?,2180,python file-io directory delete-file
How do I get a substring of a string in Python?,2171,python string substring
How to print colored text in Python?,2165,python terminal output ansi-colors
Why is “1000000000000000 in range(1000000000000001)” so fast in Python 3?,2152,python performance python-3.x range python-internals
How to access environment variable values?,2147,python environment-variables
How do you change the size of figures drawn with matplotlib?,2093,python graph matplotlib plot visualization
Is there a way to run Python on Android?,2092,android python jython ase android-scripting
Getting the last element of a list,2091,python list indexing
How do I lowercase a string in Python?,2079,python string uppercase lowercase
How to upgrade all Python packages with pip?,2069,python pip
How to iterate over rows in a DataFrame in Pandas,2029,python pandas rows dataframe
How to read a file line-by-line into a list?,2027,python string file readlines
How to select rows from a DataFrame based on column values?,2010,python pandas dataframe
Are static class variables possible in Python?,1962,python class oop static class-variables
How do I get the number of elements in a list?,1951,python list
How do I sort a list of dictionaries by a value of the dictionary?,1924,python list sorting dictionary data-structures
How to print without newline or space?,1882,python newline
Renaming columns in pandas,1864,python pandas replace dataframe rename
Why is reading lines from stdin much slower in C++ than Python?,1862,python c++ benchmarking iostream getline
How to remove a key from a Python dictionary?,1810,python dictionary data-structures unset
Determine the type of an object?,1794,python dictionary types typeof
How to randomly select an item from a list?,1776,python list random
Why is it string.join(list) instead of list.join(string)?,1767,python string list
Calling a function of a module by using its name (a string),1755,python object
Static methods in Python?,1731,python static-methods
Replacements for switch statement in Python?,1718,python switch-statement
Limiting floats to two decimal points,1702,python floating-point rounding precision
How can I remove a trailing newline?,1697,python newline trailing
How do I install pip on macOS or OS X?,1675,python macos pip installation
How to know if an object has an attribute in Python,1651,python attributes
How to leave/exit/deactivate a Python virtualenv,1627,python virtualenv virtualenvwrapper
How do I check if a string is a number (float)?,1622,python casting floating-point type-conversion
